block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Receptors_MAPK_4,Epib2ARp2_deph,kcat,45,-0.06124,3.4e-05,0.001378,0.06124,sloppy,,PKA/AC,0.000126,marginal_elsewhere
Receptors_MAPK_3,ePKC+b2ARp1barr2_craf,kcat,45,-0.061241,0.000134,0.001379,0.061241,sloppy,,,,
Receptors_MAPK_3,Isob2ARp1_deph,kcat,45,-0.061243,3.3e-05,0.001377,0.061243,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_4,eGRK5+Iso_b2AR,Km,45,-0.061247,0.000109,0.001378,0.061247,sloppy,,PKA/AC,5e-06,still_dead
Receptors_MAPK_4,Epib2ARp1+barr2,tau,45,-0.06125,7.6e-05,0.001376,0.06125,sloppy,,PKA/AC,0.000182,marginal_elsewhere
Receptors_MAPK_5,Isob2ARp1_barr2_internalize,Kf,45,-0.061253,4.4e-05,0.001378,0.061253,sloppy,,PKA/AC,5e-06,still_dead
Receptors_MAPK_3,ecraf1_mGluRbarr2+MEKp,Km,45,-0.061262,0.000848,0.001522,0.061262,sloppy,,,,
Receptors_MAPK_4,b2ARp1_barr2+Raf,tau,45,-0.061281,7.4e-05,0.001379,0.061281,sloppy,,,,
Receptors_MAPK_2,ePKC+mGluRbarr2_craf,Km,45,-0.06129,0.001272,0.0016,0.06129,sloppy,,,,
Receptors_MAPK_5,b2ARp2barr2p_dissoc,Kf,45,-0.06129,0.00011,0.001382,0.06129,sloppy,,PKA/AC,4e-06,still_dead
Receptors_MAPK_3,eGRK2+Iso_b2AR,Km,45,-0.061349,9.9e-05,0.001382,0.061349,sloppy,,PKA/AC,5e-06,still_dead
Receptors_MAPK_3,mGluR_barr2+Raf,tau,45,-0.061383,0.000302,0.001438,0.061383,sloppy,,,,
Receptors_MAPK_5,ePKC+ng_CaM,Km,45,-0.061398,0.000237,0.001406,0.061398,sloppy,,,,
Receptors_MAPK_5,b2ARp2barr2p_deph,kcat,45,-0.061421,0.000126,0.001382,0.061421,sloppy,,PKA/AC,7e-06,still_dead
Receptors_MAPK_3,Isob2ARp2_deph,Km,45,-0.061422,3.5e-05,0.001385,0.061422,sloppy,,PKA/AC,6e-06,still_dead
Receptors_MAPK_4,eIntb2ARp1barr2craf+MEK,Km,45,-0.061426,6.6e-05,0.001382,0.061426,sloppy,,,,
Receptors_MAPK_3,ePKC+ng_CaM,kcat,45,-0.061459,0.000271,0.001425,0.061459,sloppy,,,,
Receptors_MAPK_5,Epib2ARp2_barr2_internalize,Kf,45,-0.061459,3.3e-05,0.001381,0.061459,sloppy,,PKA/AC,1e-06,still_dead
Receptors_MAPK_4,Epib2ARp2_deph,Km,45,-0.061486,3.3e-05,0.001379,0.061486,sloppy,,PKA/AC,0.00022,marginal_elsewhere
Receptors_MAPK_4,Epib2ARp2+barr2,Kd,45,-0.061487,3.9e-05,0.001381,0.061487,sloppy,,PKA/AC,3.1e-05,still_dead
Receptors_MAPK_4,eGRK5+Iso_b2AR,kcat,45,-0.061495,2.8e-05,0.001381,0.061495,sloppy,,PKA/AC,1.3e-05,still_dead
Receptors_MAPK_5,ngp_deph,Kf,45,-0.061517,0.000337,0.001429,0.061517,sloppy,,,,
Receptors_MAPK_5,b2ARp1barr2craf_dissoc,Kf,45,-0.061535,4.4e-05,0.001384,0.061535,sloppy,,,,
Receptors_MAPK_2,eMKP1+MAPKp,kcat,45,-0.061599,0.030381,0.00563,0.061599,well_identified,,,,
Receptors_eIF4E,ePP2A+4EBPpqr,Km,15,-0.02526,0.063198,0.008869,0.063198,sloppy,,,,
